instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,type_of_day,hr
28,2011-01-28,1,0,1,0,5,1,2,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38,1129,1167,Hari Kerja,
29,2011-01-29,1,0,1,0,6,0,1,8.057402,10.606300000000001,65.17389999999999,9.739455,123,975,1098,Akhir Pekan,
30,2011-01-30,1,0,1,0,0,0,1,8.877402,12.5161,72.2174,4.956834199999999,140,956,1096,Akhir Pekan,
31,2011-01-31,1,0,1,0,1,1,2,7.414153,9.3125,60.375,12.541864,42,1459,1501,Hari Kerja,
32,2011-02-01,1,0,2,0,2,1,2,7.8791340000000005,11.7265,82.9565,3.565271,47,1313,1360,Hari Kerja,
33,2011-02-02,1,0,2,0,3,1,2,10.66,12.72085,77.5417,17.708636,72,1454,1526,Hari Kerja,
34,2011-02-03,1,0,2,0,4,1,1,7.665237,8.8939,43.7826,18.609384,61,1489,1550,Hari Kerja,
35,2011-02-04,1,0,2,0,5,1,2,8.663464,11.429350000000001,58.521699999999996,8.565213,88,1620,1708,Hari Kerja,
36,2011-02-05,1,0,2,0,6,0,2,9.566653,12.152899999999999,92.91669999999999,10.792293,100,905,1005,Akhir Pekan,
37,2011-02-06,1,0,2,0,0,0,1,11.719153,14.58355,56.833299999999994,9.5006,354,1269,1623,Akhir Pekan,
38,2011-02-07,1,0,2,0,1,1,1,11.138347,15.1829,73.83330000000001,3.0423561,120,1592,1712,Hari Kerja,
39,2011-02-08,1,0,2,0,2,1,1,9.054153,9.9123,53.7917,24.25065,64,1466,1530,Hari Kerja,
40,2011-02-09,1,0,2,0,3,1,2,5.526102999999999,7.21415,49.4783,12.652213,53,1552,1605,Hari Kerja,
41,2011-02-10,1,0,2,0,4,1,1,5.918268,7.477399999999999,43.7391,14.869645,47,1491,1538,Hari Kerja,
42,2011-02-11,1,0,2,0,5,1,1,7.752731000000001,10.67545,50.6364,7.272849999999999,149,1597,1746,Hari Kerja,
43,2011-02-12,1,0,2,0,6,0,1,9.1225,11.6477,54.4167,13.625589,288,1184,1472,Akhir Pekan,
44,2011-02-13,1,0,2,0,0,0,1,12.977402000000001,16.20565,45.7391,17.479160999999998,397,1192,1589,Akhir Pekan,
45,2011-02-14,1,0,2,0,1,1,1,17.015,19.9175,37.583299999999994,27.999836,208,1705,1913,Hari Kerja,
46,2011-02-15,1,0,2,0,2,1,1,10.909567000000001,12.7137,31.434800000000003,19.522058,140,1675,1815,Hari Kerja,
47,2011-02-16,1,0,2,0,3,1,1,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218,1897,2115,Hari Kerja,
48,2011-02-17,1,0,2,0,4,1,1,17.869153,21.4329,50.5,15.416968,259,2216,2475,Hari Kerja,
49,2011-02-18,1,0,2,0,5,1,1,21.388347,25.599149999999998,51.6667,17.749975000000003,579,2348,2927,Hari Kerja,
50,2011-02-19,1,0,2,0,6,0,1,16.365847,19.5702,18.7917,34.000021,532,1103,1635,Akhir Pekan,
51,2011-02-20,1,0,2,0,0,0,1,11.693897,13.8665,40.7826,14.956745,639,1173,1812,Akhir Pekan,
52,2011-02-21,1,0,2,1,1,0,2,12.436653000000002,14.203750000000001,60.5,20.625682,195,912,1107,Hari Kerja,
53,2011-02-22,1,0,2,0,2,1,1,7.471102,9.30165,57.7778,13.110761,74,1376,1450,Hari Kerja,
54,2011-02-23,1,0,2,0,3,1,1,9.091299,12.28585,42.3043,6.3055710000000005,139,1778,1917,Hari Kerja,
55,2011-02-24,1,0,2,0,4,1,2,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100,1707,1807,Hari Kerja,
56,2011-02-25,1,0,2,0,5,1,2,14.938268,17.52305,71.2174,23.218113,120,1341,1461,Hari Kerja,
57,2011-02-26,1,0,2,0,6,0,1,11.5825,14.1096,53.7917,12.500257,424,1545,1969,Akhir Pekan,
58,2011-02-27,1,0,2,0,0,0,1,14.082598,17.55545,68.0,8.391615999999999,694,1708,2402,Akhir Pekan,
59,2011-02-28,1,0,2,0,1,1,2,16.698193,20.005899999999997,87.63640000000001,19.408962,81,1365,1446,Hari Kerja,
60,2011-03-01,1,0,3,0,2,1,1,10.933347,13.19395,53.5,14.500475,137,1714,1851,Hari Kerja,
61,2011-03-02,1,0,3,0,3,1,1,13.735000000000001,16.00355,44.9583,20.624811,231,1903,2134,Hari Kerja,
62,2011-03-03,1,0,3,0,4,1,1,8.131653,10.00665,31.833299999999998,15.125518000000001,123,1562,1685,Hari Kerja,
63,2011-03-04,1,0,3,0,5,1,2,10.728347,12.783949999999999,61.0417,13.624182,214,1730,1944,Hari Kerja,
64,2011-03-05,1,0,3,0,6,0,2,15.750846999999998,18.93895,78.91669999999999,16.875357,640,1437,2077,Akhir Pekan,
65,2011-03-06,1,0,3,0,0,0,2,15.437402,18.3126,94.8261,23.000229,114,491,605,Akhir Pekan,
66,2011-03-07,1,0,3,0,1,1,1,10.731299,11.92305,55.1304,22.870584,244,1628,1872,Hari Kerja,
67,2011-03-08,1,0,3,0,2,1,1,11.9925,15.120000000000001,42.0833,8.083549999999999,316,1817,2133,Hari Kerja,
68,2011-03-09,1,0,3,0,3,1,2,12.129153,14.3304,77.5417,14.750050000000002,191,1700,1891,Hari Kerja,
69,2011-03-10,1,0,3,0,4,1,3,15.952731,19.2834,0.0,17.545759,46,577,623,Hari Kerja,
70,2011-03-11,1,0,3,0,5,1,2,12.977402000000001,15.25,64.95649999999999,15.60899,247,1730,1977,Hari Kerja,
71,2011-03-12,1,0,3,0,6,0,1,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724,1408,2132,Akhir Pekan,
72,2011-03-13,1,0,3,0,0,0,1,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982,1435,2417,Akhir Pekan,
73,2011-03-14,1,0,3,0,1,1,1,13.333896999999999,16.6,49.695699999999995,9.174042,359,1687,2046,Hari Kerja,
74,2011-03-15,1,0,3,0,2,1,2,13.013031,15.908900000000001,65.5652,12.348703,289,1767,2056,Hari Kerja,
75,2011-03-16,1,0,3,0,3,1,2,14.973897000000001,18.3465,77.65220000000001,13.608839,321,1871,2192,Hari Kerja,
76,2011-03-17,1,0,3,0,4,1,1,17.015,20.51665,60.291700000000006,14.041792999999998,424,2320,2744,Hari Kerja,
77,2011-03-18,1,0,3,0,5,1,1,22.14,26.35045,52.5217,15.478139,884,2355,3239,Hari Kerja,
78,2011-03-19,1,0,3,0,6,0,1,19.3725,23.32625,37.9167,24.667189,1424,1693,3117,Akhir Pekan,
79,2011-03-20,1,0,3,0,0,0,1,13.6325,16.287499999999998,47.375,13.917307,1047,1424,2471,Akhir Pekan,
80,2011-03-21,2,0,3,0,1,1,2,17.647835,20.48675,73.73910000000001,19.348461,401,1676,2077,Hari Kerja,
81,2011-03-22,2,0,3,0,2,1,1,18.108347,22.0321,62.4583,15.125250000000001,460,2243,2703,Hari Kerja,
82,2011-03-23,2,0,3,0,3,1,2,14.225237,16.89695,83.9565,15.695487,203,1918,2121,Hari Kerja,
83,2011-03-24,2,0,3,0,4,1,2,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166,1699,1865,Hari Kerja,
84,2011-03-25,2,0,3,0,5,1,1,10.830846999999999,12.8156,49.5,15.458575000000002,300,1910,2210,Hari Kerja,
85,2011-03-26,2,0,3,0,6,0,1,10.899153,12.87855,39.4167,14.041257,981,1515,2496,Akhir Pekan,
86,2011-03-27,2,0,3,0,0,0,2,10.374763000000002,12.51695,49.3913,12.348099999999999,472,1221,1693,Akhir Pekan,
87,2011-03-28,2,0,3,0,1,1,1,10.838268000000001,12.878700000000002,30.2174,14.217668,222,1806,2028,Hari Kerja,
88,2011-03-29,2,0,3,0,2,1,1,12.4025,14.6454,31.4167,15.208732,317,2108,2425,Hari Kerja,
89,2011-03-30,2,0,3,0,3,1,2,12.299999999999999,14.8675,64.6667,11.583495999999998,168,1368,1536,Hari Kerja,
90,2011-03-31,2,0,3,0,4,1,3,11.001653,12.87875,91.8333,14.582282000000001,179,1506,1685,Hari Kerja,
91,2011-04-01,2,0,4,0,5,1,2,12.299999999999999,14.172699999999999,68.625,17.333436,307,1920,2227,Hari Kerja,
92,2011-04-02,2,0,4,0,6,0,2,12.915000000000001,15.78185,65.375,13.208782,898,1354,2252,Akhir Pekan,
93,2011-04-03,2,0,4,0,0,0,1,15.511652999999999,18.93835,48.0,12.208271000000002,1651,1598,3249,Akhir Pekan,
94,2011-04-04,2,0,4,0,1,1,1,23.506653,27.14645,42.625,25.833257,734,2381,3115,Hari Kerja,
95,2011-04-05,2,0,4,0,2,1,2,16.980847,19.9175,64.2083,26.000488999999998,167,1628,1795,Hari Kerja,
96,2011-04-06,2,0,4,0,3,1,1,16.024153,19.3804,47.0833,17.625221,413,2395,2808,Hari Kerja,
97,2011-04-07,2,0,4,0,4,1,1,17.9375,21.684800000000003,60.291700000000006,10.874904,571,2570,3141,Hari Kerja,
98,2011-04-08,2,0,4,0,5,1,2,13.769153,16.223950000000002,83.625,15.208464,172,1299,1471,Hari Kerja,
99,2011-04-09,2,0,4,0,6,0,2,14.0425,17.07645,87.75,8.916561,879,1576,2455,Akhir Pekan,
100,2011-04-10,2,0,4,0,0,0,2,17.493347,21.33685,85.75,9.833389,1188,1707,2895,Akhir Pekan,
101,2011-04-11,2,0,4,0,1,1,2,24.421732,28.260849999999998,71.6956,21.739758,855,2493,3348,Hari Kerja,
102,2011-04-12,2,0,4,0,2,1,2,20.6025,24.6527,73.9167,18.416892999999998,257,1777,2034,Hari Kerja,
103,2011-04-13,2,0,4,0,3,1,2,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,209,1953,2162,Hari Kerja,
104,2011-04-14,2,0,4,0,4,1,1,19.1675,23.1371,54.041700000000006,7.4169,529,2738,3267,Hari Kerja,
105,2011-04-15,2,0,4,1,5,0,1,18.313347,22.09565,67.125,15.167124999999999,642,2484,3126,Hari Kerja,
106,2011-04-16,2,0,4,0,6,0,3,17.664153000000002,21.2746,88.83330000000001,22.834136,121,674,795,Akhir Pekan,
107,2011-04-17,2,0,4,0,0,0,1,18.723347,22.2848,47.9583,20.334232,1558,2186,3744,Akhir Pekan,
108,2011-04-18,2,0,4,0,1,1,1,21.0125,25.1573,54.25,10.958988999999999,669,2760,3429,Hari Kerja,
109,2011-04-19,2,0,4,0,2,1,2,20.739152999999998,24.4629,66.5833,10.584057,409,2795,3204,Hari Kerja,
110,2011-04-20,2,0,4,0,3,1,1,24.395,28.2196,61.4167,16.208975,613,3331,3944,Hari Kerja,
111,2011-04-21,2,0,4,0,4,1,1,18.825847,22.6946,40.708299999999994,21.792286,745,3444,4189,Hari Kerja,
112,2011-04-22,2,0,4,0,5,1,2,13.803347,16.0977,72.9583,14.707906999999999,177,1506,1683,Hari Kerja,
113,2011-04-23,2,0,4,0,6,0,2,18.86,22.50605,88.79169999999999,15.458575000000002,1462,2574,4036,Akhir Pekan,
114,2011-04-24,2,0,4,0,0,0,2,23.848347,27.58815,81.08330000000001,12.875725000000001,1710,2481,4191,Akhir Pekan,
115,2011-04-25,2,0,4,0,1,1,1,24.873347,28.725,77.6667,12.417311,773,3300,4073,Hari Kerja,
116,2011-04-26,2,0,4,0,2,1,1,25.898346999999998,29.704150000000002,72.9167,21.875500000000002,678,3722,4400,Hari Kerja,
117,2011-04-27,2,0,4,0,3,1,2,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,547,3325,3872,Hari Kerja,
118,2011-04-28,2,0,4,0,4,1,2,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,569,3489,4058,Hari Kerja,
119,2011-04-29,2,0,4,0,5,1,1,20.91,24.87315,45.7083,16.084221,878,3717,4595,Hari Kerja,
120,2011-04-30,2,0,4,0,6,0,1,19.3725,23.201050000000002,50.3333,15.750025,1965,3347,5312,Akhir Pekan,
121,2011-05-01,2,0,5,0,0,0,2,18.518347,22.4102,76.2083,7.125718,1138,2213,3351,Akhir Pekan,
122,2011-05-02,2,0,5,0,1,1,2,22.515846999999997,26.64165,73.0,12.291418,847,3554,4401,Hari Kerja,
123,2011-05-03,2,0,5,0,2,1,2,25.283347,29.10395,69.7083,22.958689,603,3848,4451,Hari Kerja,
124,2011-05-04,2,0,5,0,3,1,2,16.980847,20.2325,73.70830000000001,22.042732,255,2378,2633,Hari Kerja,
125,2011-05-05,2,0,5,0,4,1,1,18.825847,22.09585,44.4167,19.791263999999998,614,3819,4433,Hari Kerja,
126,2011-05-06,2,0,5,0,5,1,1,19.645847,23.70585,59.0,15.292482,894,3714,4608,Hari Kerja,
127,2011-05-07,2,0,5,0,6,0,1,21.32,25.63105,54.125,10.750150000000001,1612,3102,4714,Akhir Pekan,
128,2011-05-08,2,0,5,0,0,0,1,21.661653,25.946649999999998,63.1667,5.0007125,1401,2932,4333,Akhir Pekan,
129,2011-05-09,2,0,5,0,1,1,1,21.8325,26.2623,58.875,11.792,664,3698,4362,Hari Kerja,
130,2011-05-10,2,0,5,0,2,1,1,21.8325,26.13605,48.9167,7.749956999999999,694,4109,4803,Hari Kerja,
131,2011-05-11,2,0,5,0,3,1,1,22.2425,26.419999999999998,63.29169999999999,8.083014,550,3632,4182,Hari Kerja,
132,2011-05-12,2,0,5,0,4,1,1,21.935000000000002,26.16815,74.75,12.707689,695,4169,4864,Hari Kerja,
133,2011-05-13,2,0,5,0,5,1,2,21.0125,24.715,86.33330000000001,12.041575,692,3413,4105,Hari Kerja,
134,2011-05-14,2,0,5,0,6,0,2,21.354153,25.03145,92.25,9.041649999999999,902,2507,3409,Akhir Pekan,
135,2011-05-15,2,0,5,0,0,0,2,23.0625,26.8,86.70830000000001,10.249593,1582,2971,4553,Akhir Pekan,
136,2011-05-16,2,0,5,0,1,1,1,23.677500000000002,27.5256,78.79169999999999,8.500357000000001,773,3185,3958,Hari Kerja,
137,2011-05-17,2,0,5,0,2,1,2,23.028347,26.926450000000003,83.7917,18.582718,678,3445,4123,Hari Kerja,
138,2011-05-18,2,0,5,0,3,1,2,22.55,26.3579,87.0,13.499964,536,3319,3855,Hari Kerja,
139,2011-05-19,2,0,5,0,4,1,2,21.764153,25.537100000000002,82.9583,7.250271000000001,735,3840,4575,Hari Kerja,
140,2011-05-20,2,0,5,0,5,1,1,22.003347,26.4521,71.9583,8.375871,909,4008,4917,Hari Kerja,
141,2011-05-21,2,0,5,0,6,0,1,24.7025,28.59875,62.6667,8.083549999999999,2258,3547,5805,Akhir Pekan,
142,2011-05-22,2,0,5,0,0,0,1,24.770847,28.725,74.9583,9.916536,1576,3084,4660,Akhir Pekan,
143,2011-05-23,2,0,5,0,1,1,2,25.898346999999998,29.5148,81.0,15.667413999999999,836,3438,4274,Hari Kerja,
144,2011-05-24,2,0,5,0,2,1,2,27.060000000000002,30.240650000000002,74.0833,13.875164,659,3833,4492,Hari Kerja,
145,2011-05-25,2,0,5,0,3,1,1,27.094153,30.7771,69.625,10.333611000000001,740,4238,4978,Hari Kerja,
146,2011-05-26,2,0,5,0,4,1,1,29.041653,32.7344,67.75,13.376014,758,3919,4677,Hari Kerja,
147,2011-05-27,2,0,5,0,5,1,1,27.948347000000002,31.8504,65.375,16.125493,871,3808,4679,Hari Kerja,
148,2011-05-28,2,0,5,0,6,0,1,26.889153,30.61895,72.9583,15.416164,2001,2757,4758,Akhir Pekan,
149,2011-05-29,2,0,5,0,0,0,1,27.3675,30.777500000000003,81.875,14.333846,2355,2433,4788,Akhir Pekan,
150,2011-05-30,2,0,5,1,1,0,1,30.066653000000002,33.5546,68.5,8.792075,1549,2549,4098,Hari Kerja,
151,2011-05-31,2,0,5,0,2,1,1,31.775000000000002,36.26915,63.6667,7.459042999999999,673,3309,3982,Hari Kerja,
152,2011-06-01,2,0,6,0,3,1,2,31.330847000000002,36.04835,67.7083,13.875164,513,3461,3974,Hari Kerja,
153,2011-06-02,2,0,6,0,4,1,1,29.314999999999998,32.1971,30.5,19.583229000000003,736,4232,4968,Hari Kerja,
154,2011-06-03,2,0,6,0,5,1,1,25.419999999999998,29.356650000000002,35.4167,16.959107,898,4414,5312,Hari Kerja,
155,2011-06-04,2,0,6,0,6,0,1,26.035,29.7348,45.625,8.250514,1869,3473,5342,Akhir Pekan,
156,2011-06-05,2,0,6,0,0,0,2,26.581653000000003,30.8402,65.25,9.292364000000001,1685,3221,4906,Akhir Pekan,
157,2011-06-06,2,0,6,0,1,1,1,27.811653,31.0929,60.0,8.167032,673,3875,4548,Hari Kerja,
158,2011-06-07,2,0,6,0,2,1,1,29.0075,32.7975,59.791700000000006,12.583136,763,4070,4833,Hari Kerja,
159,2011-06-08,2,0,6,0,3,1,1,31.809153,36.36395,62.20830000000001,9.166739,676,3725,4401,Hari Kerja,
160,2011-06-09,2,0,6,0,4,1,2,33.141653,37.87895,56.833299999999994,10.042161,563,3352,3915,Hari Kerja,
161,2011-06-10,2,0,6,0,5,1,1,30.955000000000002,35.1646,60.5,9.417118,815,3771,4586,Hari Kerja,
162,2011-06-11,2,0,6,0,6,0,1,29.724999999999998,33.901900000000005,65.45830000000001,10.374949999999998,1729,3237,4966,Akhir Pekan,
163,2011-06-12,2,0,6,0,0,0,1,28.392500000000002,32.166250000000005,74.7917,10.958988999999999,1467,2993,4460,Akhir Pekan,
164,2011-06-13,2,0,6,0,1,1,1,26.035,30.082700000000003,49.4583,20.45845,863,4157,5020,Hari Kerja,
165,2011-06-14,2,0,6,0,2,1,1,24.770847,29.5773,50.708299999999994,18.041961,727,4164,4891,Hari Kerja,
166,2011-06-15,2,0,6,0,3,1,1,25.693347,29.3877,47.1667,11.250104,769,4411,5180,Hari Kerja,
167,2011-06-16,2,0,6,0,4,1,2,25.761653000000003,29.767300000000002,68.8333,13.833556999999999,545,3222,3767,Hari Kerja,
168,2011-06-17,2,0,6,0,5,1,1,26.615847000000002,30.01915,73.5833,9.582942999999998,863,3981,4844,Hari Kerja,
169,2011-06-18,2,0,6,0,6,0,1,28.563347,32.197700000000005,67.0417,8.000336,1807,3312,5119,Akhir Pekan,
170,2011-06-19,2,0,6,0,0,0,2,28.665847,32.292300000000004,66.6667,6.834,1639,3105,4744,Akhir Pekan,
171,2011-06-20,2,0,6,0,1,1,2,26.035,29.767300000000002,74.625,10.416825,699,3311,4010,Hari Kerja,
172,2011-06-21,3,0,6,0,2,1,2,27.914153000000002,31.8823,77.0417,11.458675000000001,774,4061,4835,Hari Kerja,
173,2011-06-22,3,0,6,0,3,1,1,30.066653000000002,34.69145,70.75,11.541554,661,3846,4507,Hari Kerja,
174,2011-06-23,3,0,6,0,4,1,2,29.861653,34.69165,70.3333,15.999868,746,4044,4790,Hari Kerja,
175,2011-06-24,3,0,6,0,5,1,1,29.690847,32.82915,57.3333,14.875675,969,4022,4991,Hari Kerja,
176,2011-06-25,3,0,6,0,6,0,1,28.494999999999997,32.16565,48.3333,14.041257,1782,3420,5202,Akhir Pekan,
177,2011-06-26,3,0,6,0,0,0,1,27.880000000000003,31.88145,51.3333,6.3337311,1920,3385,5305,Akhir Pekan,
178,2011-06-27,3,0,6,0,1,1,2,27.982499999999998,31.8502,65.8333,7.2083960000000005,854,3854,4708,Hari Kerja,
179,2011-06-28,3,0,6,0,2,1,1,30.510847000000002,34.6279,63.416700000000006,9.666960999999999,732,3916,4648,Hari Kerja,
180,2011-06-29,3,0,6,0,3,1,1,29.861653,32.7344,49.7917,17.542007,848,4377,5225,Hari Kerja,
181,2011-06-30,3,0,6,0,4,1,1,28.563347,31.8504,43.416700000000006,12.415904000000001,1027,4488,5515,Hari Kerja,
182,2011-07-01,3,0,7,0,5,1,1,29.622500000000002,32.6081,39.625,6.874736,1246,4116,5362,Hari Kerja,
183,2011-07-02,3,0,7,0,6,0,1,30.271653,33.3654,44.4583,7.709154,2204,2915,5119,Akhir Pekan,
184,2011-07-03,3,0,7,0,0,0,2,29.383347,33.42875,68.25,15.333486,2282,2367,4649,Akhir Pekan,
185,2011-07-04,3,0,7,1,1,0,2,29.793346999999997,33.27085,63.7917,5.4591064000000005,3065,2978,6043,Hari Kerja,
186,2011-07-05,3,0,7,0,2,1,1,30.613346999999997,34.816900000000004,59.0417,8.459286,1031,3634,4665,Hari Kerja,
187,2011-07-06,3,0,7,0,3,1,1,29.52,34.28165,74.33330000000001,10.042161,784,3845,4629,Hari Kerja,
188,2011-07-07,3,0,7,0,4,1,1,30.75,34.34355,65.125,10.666400000000001,754,3838,4592,Hari Kerja,
189,2011-07-08,3,0,7,0,5,1,2,29.075847,33.524150000000006,75.79169999999999,15.083643,692,3348,4040,Hari Kerja,
190,2011-07-09,3,0,7,0,6,0,1,30.066653000000002,33.2079,60.9167,11.250104,1988,3348,5336,Akhir Pekan,
191,2011-07-10,3,0,7,0,0,0,1,30.6475,34.50125,57.8333,12.292557,1743,3138,4881,Akhir Pekan,
192,2011-07-11,3,0,7,0,1,1,1,31.2625,36.4902,63.5833,18.916579,723,3363,4086,Hari Kerja,
193,2011-07-12,3,0,7,0,2,1,1,32.560846999999995,36.96375,55.9167,13.417017999999999,662,3596,4258,Hari Kerja,
194,2011-07-13,3,0,7,0,3,1,1,30.613346999999997,34.4702,63.1667,9.790911000000001,748,3594,4342,Hari Kerja,
195,2011-07-14,3,0,7,0,4,1,1,27.914153000000002,31.7552,47.625,16.124689,888,4196,5084,Hari Kerja,
196,2011-07-15,3,0,7,0,5,1,1,27.196652999999998,31.21855,59.12500000000001,12.249811,1318,4220,5538,Hari Kerja,
197,2011-07-16,3,0,7,0,6,0,1,28.153347,31.91315,58.5,13.958914,2418,3505,5923,Akhir Pekan,
198,2011-07-17,3,0,7,0,0,0,1,29.485847,33.49165,60.4167,16.417211,2006,3296,5302,Akhir Pekan,
199,2011-07-18,3,0,7,0,1,1,1,30.613346999999997,35.19625,65.125,14.458867999999999,841,3617,4458,Hari Kerja,
200,2011-07-19,3,0,7,0,2,1,1,31.843347,37.37395,65.0417,8.7502,752,3789,4541,Hari Kerja,
201,2011-07-20,3,0,7,0,3,1,1,31.501653,37.3425,70.70830000000001,7.625739,644,3688,4332,Hari Kerja,
202,2011-07-21,3,0,7,0,4,1,2,33.415,41.31855,69.125,14.875407,632,3152,3784,Hari Kerja,
203,2011-07-22,3,0,7,0,5,1,1,34.781653,42.0448,58.0417,8.9177,562,2825,3387,Hari Kerja,
204,2011-07-23,3,0,7,0,6,0,1,34.815847,40.214349999999996,50.0,8.791807,987,2298,3285,Akhir Pekan,
205,2011-07-24,3,0,7,0,0,0,1,34.03,39.74145,55.0833,11.334456999999999,1050,2556,3606,Akhir Pekan,
206,2011-07-25,3,0,7,0,1,1,1,30.476653000000002,36.0479,75.7083,6.0841560999999995,568,3272,3840,Hari Kerja,
207,2011-07-26,3,0,7,0,2,1,1,31.638347,34.84895,54.0833,13.417285999999999,750,3840,4590,Hari Kerja,
208,2011-07-27,3,0,7,0,3,1,1,31.775000000000002,34.53335,40.291700000000006,12.292020999999998,755,3901,4656,Hari Kerja,
209,2011-07-28,3,0,7,0,4,1,1,31.945847,36.995,58.3333,11.958093,606,3784,4390,Hari Kerja,
210,2011-07-29,3,0,7,0,5,1,1,34.371653,39.29835,54.25,11.667245999999999,670,3176,3846,Hari Kerja,
211,2011-07-30,3,0,7,0,6,0,1,32.970847,36.42685,46.5833,11.291979,1559,2916,4475,Akhir Pekan,
212,2011-07-31,3,0,7,0,0,0,1,33.039153,36.4898,48.0833,11.042470999999999,1524,2778,4302,Akhir Pekan,
213,2011-08-01,3,0,8,0,1,1,1,31.638347,35.1646,55.0833,10.500039,729,3537,4266,Hari Kerja,
214,2011-08-02,3,0,8,0,2,1,1,32.116653,35.35355,49.125,13.79195,801,4044,4845,Hari Kerja,
215,2011-08-03,3,0,8,0,3,1,2,29.998347,33.99685,65.75,9.084061,467,3107,3574,Hari Kerja,
216,2011-08-04,3,0,8,0,4,1,2,29.11,33.2394,75.75,13.20905,799,3777,4576,Hari Kerja,
217,2011-08-05,3,0,8,0,5,1,1,29.144153000000003,32.82835,63.083299999999994,12.374632,1023,3843,4866,Hari Kerja,
218,2011-08-06,3,0,8,0,6,0,2,29.383347,33.807700000000004,75.5,15.29275,1521,2773,4294,Akhir Pekan,
